API name,Main page link,Plan 1 name,Plan 1 link,Does plan 1 have an SLA?,Plan 1 SLA,Plan 2 name,Plan 2 link,Does plan 2 have an SLA?,Plan 2 SLA,Plan 3 name,Plan 3 link,Does plan 3 have an SLA?,Plan 3 SLA,Plan 4 name,Plan 4 link,Does plan 4 have an SLA?,Plan 4 SLA,Plan 5 name,Plan 5 link,Does plan 5 have an SLA?,Plan 5 SLA,Other plans,Metric 1 name,Metric 1 link,Metric 1 description,Is metric 1 domain dependent?,Does metric 1 have an explicit window?,Metric 1 window,Metric 2 name,Metric 2 link,Metric 2 description,Is metric 2 domain dependent?,Does metric 2 have an explicit window?,Metric 2 window,Metric 3 name,Metric 3 link,Metric 3 description,Is metric 3 domain dependent?,Does metric 3 have an explicit window?,Metric 3 window,Metric 4 name,Metric 4 link,Metric 4 description,Is metric 4 domain dependent?,Does metric 4 have an explicit window?,Metric 4 window,Metric 5 name,Metric 5 link,Metric 5 description,Is metric 5 domain dependent?,Does metric 5 have an explicit window?,Metric 5 window,Other metrics,Implicit metrics,Implicit metric description
AccuWeather,https://www.accuweather.com/,Limited Trial,https://developer.accuweather.com/packages,No,,Standard,https://developer.accuweather.com/packages,No,,Prime,https://developer.accuweather.com/packages,No,,Elite,https://developer.accuweather.com/packages,No,,,,,,,Calls/day,https://developer.accuweather.com/packages,Maximum number of requests that can be made in a day,No,No,,Key number/Developer,https://developer.accuweather.com/packages,Maximum number keys that has a developer,No,No,,Forecast of time to x days,https://developer.accuweather.com/packages,Forecast of Time Through X Days,Yes,Not sure,,Historical current weather conditions 24h,https://developer.accuweather.com/packages,Summary of time in the last 24h,Yes,Not sure,,,índices a X días,Forecast of different indexes to x days seen,Yes,Not sure,,,No,
Alibaba,https://www.alibabacloud.com/pricing,Pay-As-You-Go Billing,https://www.alibabacloud.com/pricing,Not sure,,Save by Subscription Billing,https://www.alibabacloud.com/pricing,No,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
Alphacoders,https://alphacoders.com/,Free,https://wall.alphacoders.com/api.php#,Not sure,,Ad Free,https://www.patreon.com/alphacoders,Not sure,No ads,Image Enthusiast,https://www.patreon.com/alphacoders,Not sure,No ads,,,,,,,,,,Queries,https://wall.alphacoders.com/api.php#,Number of requests per month,Yes,No,,Store Results/Content,https://wall.alphacoders.com/api.php#,Save results or cached content up to 24 hours,Yes,No,,,,,,,,,,,,,,,,,,,,,No,
Autodesk Data Management,https://forge.autodesk.com/pricing,Free,https://forge.autodesk.com/pricing,No,,Subscription,https://forge.autodesk.com/pricing,Yes,Dedicated support,,,,,,,,,,,,,,Forge for Enterprise,https://forge.autodesk.com/pricing,Volume discounts begin when there are 5000 credits in the cloud,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Rate Limit ExceEded (Http Status Code 429)
AzureSearch,https://azure.microsoft.com/es-es/,Free,https://azure.microsoft.com/es-es/pricing/details/cognitive-services/search-api/,Not sure,,S1,https://azure.microsoft.com/es-es/pricing/details/cognitive-services/search-api/,No,,S2,https://azure.microsoft.com/es-es/pricing/details/cognitive-services/search-api/,Not sure,,S3,https://azure.microsoft.com/es-es/pricing/details/cognitive-services/search-api/,No,,S4,https://azure.microsoft.com/es-es/pricing/details/cognitive-services/search-api/,No,,"S5, https://azure.microsoft.com/es-es/pricing/details/cognitive-services/search-api/, No, , S6, https://azure.microsoft.com/es-es/pricing/details/cognitive-services/search-api/, No, , S7, https://azure.microsoft.com/es-es/pricing/details/cognitive-services/search-api/, No, , S8, https://azure.microsoft.com/es-es/pricing/details/cognitive-services/search-api/, No, , S9, https://azure.microsoft.com/es-es/pricing/details/cognitive-services/search-api/, No, , S10, https://azure.microsoft.com/es-es/pricing/details/cognitive-services/search-api/, No,",Transactions per second,https://azure.microsoft.com/es-es/pricing/details/cognitive-services/search-api/,Number of maximum transactions per second,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Not sure,
Basecamp,https://basecamp.com/,Basecamp Personal,https://basecamp.com/pricing,Yes,99.99% availability with compensation,Basecamp Business,https://basecamp.com/pricing,Yes,"99.99% availability with compensation, priority support",,,,,,,,,,,,,,Projects,https://basecamp.com/pricing,Maximum number of projects that the user can create.,Not sure,No,,Users,https://basecamp.com/pricing,Number of users who can be invited to work on the projects.,No,No,,Storage,https://basecamp.com/pricing,Storage space available on servers.,No,No,,,,,,,,,,,,,,,Not sure,
Besoccer,https://company.besoccer.com/api/,BOOTSTRAT,https://company.besoccer.com/api/precios,No,,Startup ,https://company.besoccer.com/api/precios,No,,Professional ,https://company.besoccer.com/api/precios,No,,Custom,,No,,,,,,,Leagues available,https://company.besoccer.com/api/precios,Indicates the number of leagues that you can request information,Yes,No,,Monthly tickets,https://company.besoccer.com/api/precios,The number of technical support tickets that can be opened monthly,Yes,No,,Level requests,https://company.besoccer.com/api/precios,"Indicates the number of resources that can be accessed, at higher level of petitions more accessible information",Yes,No,,,,,,,,,,,,,,,No,
bluehost,https://www.bluehost.com/web-hosting/signup,Basic,https://www.bluehost.com/web-hosting/signup,No,,Plus,https://www.bluehost.com/web-hosting/signup,No,,Choice Plus,https://www.bluehost.com/web-hosting/signup,No,,Pro,https://www.bluehost.com/web-hosting/signup,No,,,,,,,Number of web pages,https://www.bluehost.com/web-hosting/signup,Number of open web pages,Yes,No,,Web space,https://www.bluehost.com/web-hosting/signup,Storage space for web pages,Yes,No,,Number of parked domains,https://www.bluehost.com/web-hosting/signup,Parked Domains or Standby,No,No,,No. of subdomains,https://www.bluehost.com/web-hosting/signup,Number of subdomains that can be had,No,No,,No. of e-mail accounts,https://www.bluehost.com/web-hosting/signup,Number of email accounts that can be had,No,No,,"Email storage, https://www.bluehost.com/web-hosting/signup, maximum storage by email account, no, no",No,
Box,https://www.box.com/es-419/pricing/business,Starter,https://www.box.com/es-419/pricing/business,No,,Business,https://www.box.com/es-419/pricing/business,No,,Business Plus,https://www.box.com/es-419/pricing/business,No,,Enterprise,https://www.box.com/es-419/pricing/business,No,,,,,,,Storage,https://www.box.com/es-419/pricing/business,"You can store up to a maximum of 100GB, for example. Or in more expensive rates it would be unlimited",Yes,No,,Individual file load limit,https://www.box.com/es-419/pricing/business,You can not upload files from more than 2GB for example.,Yes,No,,API calls per month,https://www.box.com/es-419/pricing/business,Number of times you can call the API per month. Maximum of 25000 calls a month for example.,No,No,,,,,,,,,,,,,,,No,
Capsule Crm,https://capsulecrm.com/,Free,https://capsulecrm.com/signup/#feature-table-header,Yes,Customer support,Professional,https://capsulecrm.com/signup/#feature-table-header,Yes,Customer support,Teams,https://capsulecrm.com/signup/#feature-table-header,Yes,Customer support,Enterprise,https://capsulecrm.com/signup/#feature-table-header,Yes,"Customer support, dedicated support",,,,,,Contacts,https://capsulecrm.com/signup/#feature-table-header,Total contacts you can have according to the plan,Yes,No,,Storage,https://capsulecrm.com/signup/#feature-table-header,Total storage per user according to the plan,No,No,,Custom fields,https://capsulecrm.com/signup/#feature-table-header,Custom fields to add additional information about contacts,Yes,No,,Sales opportunities,https://capsulecrm.com/signup/#feature-table-header,They can track potential customers,Yes,No,,Cases,https://capsulecrm.com/signup/#feature-table-header,To track events or customer activities,Yes,No,,"(Follow-up, https://capsulecrm.com/signup/#Feature-Table-Header, sequence of tasks to organize processes, yes, no)",No,
