Metric,Description,Domain independent,Capacity correlation,Categorization,Explicit window type,Intuitive rate/quota,Original name,Rate/quota
Requests/day,Requests per day,Yes,Yes,Requests/TU,No,Yes,Requests/day,Quota
Requests/month,Requests per month,Yes,Yes,Requests/TU,No,Yes,CPM rate,Quota
TPS,Requests per second,Yes,Yes,Requests/TU,No,Yes,Transacciones por segundo,Rate
Transactions,Total requests,Yes,Yes,Requests,No,No,Transacciones,Quota
Requests/minute,Requests per minute,Yes,Yes,Requests/TU,No*,Yes,Rate limits,Rate
Requests/month,Requests per month,Yes,Yes,Requests/TU,No,Yes,Llamadas de API al mes,Quota
Storage,Maximum user storage size,Yes,No,Storage,No,No,Storage,Quota
Single file upload size,Maximum uploaded file size,Yes,No,Upload,No,No,Single file upload limit,Quota
Integrations,Maximum number of external integrations,Yes,No,Integrations,No,No,Enterprise app integrations,Quota
History,Available version history,Yes,No,History,No,No,Version history,Quota
Minimum users,Minimum number of users,Yes,No,Users,No,No,Minimum users,Quota
Maximum users,Maximum number of users,Yes,No,Users,No,No,Maximum users,Quota
Prebuilt prediction operations,Number of prebuilt prediction operations,No,No,AI,No,No,Pre-build models operations,Quota
Custom prediction operations,Number of custom prediction operations,No,No,AI,No,No,Custom models operations,Quota
Search operations,Number of search operations,No,No,AI,No,No,Search operations,Quota
Add/edit operations,Number of add/edit input images operations,No,No,AI,No,No,Add or edit input images,Quota
Custom model hosting,Number of custom models that can be hosted,No,No,AI,No,No,Custom model hosting,Quota
Image hosting,Number of images that can be hosted,No,No,AI,No,No,Image hosting,Quota
Custom model training,Custom models that can be trained,No,No,AI,No,No,Custom model training,Quota
Visual search training,Visual search models that can be trained,No,No,AI,No,No,Customized visual search,Quota
Retraining,Retraining operations that can be performed,No,No,AI,No,No,Model retraining with feedback,Quota
Total inputs,Maximum number of inputs,Yes,Yes,AI,No,No,Upper plan limits,Quota
Total operations,Maximum number of operations,Yes,Yes,AI,No,No,Upper plan limits,Quota
Image regular batch size,Maximum batch size for image regular operations,Yes,Yes,Upload,No,No,Max batch size - Image predict,Quota
Image workflow batch size,Maximum batch size for image workflow operations,Yes,Yes,Upload,No,No,Max batch size - Image predict,Quota
Video batch size,Maximum batch size for videos,Yes,Yes,Upload,No,No,Max batch size - Video predict,Quota
Search batch size,Maximum batch size for searches,Yes,Yes,Upload,No,No,Max batch size - Search,Quota
Other batch size,Maximum batch size for other operations,Yes,Yes,Upload,No,No,Max batch size - Other,Quota
Image predict requests/second,Image predict requests per second,Yes,Yes,Requests/TU,No,Yes,Max API calls per second - Image predict,Rate
Video predict requests/second,Video predict requests per second,Yes,Yes,Requests/TU,No,Yes,Max API calls per second - Video predict,Rate
Search requests/second,Search requests per second,Yes,Yes,Requests/TU,No,Yes,Max API calls per second - Search,Rate
Other requests/second,Other requests per second,Yes,Yes,Requests/TU,No,Yes,Max API calls per second - Other,Rate
Requests/month,Requests per month,Yes,Yes,Requests/TU,No,Yes,Requests/month,Quota
Requests/second,Requests per second,Yes,Yes,Requests/TU,No,Yes,-,Rate
Requests/hour,Requests per hour,Yes,Yes,Requests/TU,No,Yes,Rate limit,Rate
Invoices and expenses,Generated invoices per year,No,Yes,Other,No,Yes,Invoices & expenses,Quota
Users,Maximum number of users,Yes,No,Users,No,No,Users,Quota
Envelopes,Documents to be sent,No,Yes,Documents,No,Yes,Envelopes,Quota
Requests/hour,Requests per hour,Yes,Yes,Requests/TU,No*,Yes,Calls/hour,Rate
Requests/month,Requests per month,Yes,Yes,Requests/TU,No,Yes,Rate limits,Rate
Storage,Maximum user storage size,Yes,No,Storage,No,No,Storage,Quota
Upload size,Maximum uploaded file size,Yes,No,Upload,No,No,Dropbox transfer,Quota
Users,Maximum number of users,Yes,No,Users,No,No,Users,Quota
Emails/month,Emails sent per month,No,Yes,Emails,No,Yes,Emails/month,Quota
Query size,Query size in MB,No,No,Requests,No,No,-,Quota
Query size sum,Query size sum in MB,No,No,Requests,No,No,-,Quota
History,Stats history,No,No,History,No,No,-,Quota
Documents,Documents to be sent,No,No,Documents,No,No,Documents,Quota
Templates,Total templates to be created,No,No,Documents,No,No,Templates,Quota
QPS,Queries per second,Yes,Yes,Requests/TU,No,Yes,QPS,Rate
QPS invalid param,Queries per second for queries with invalid parameters,Yes,Yes,Requests/TU,No,Yes,400 failure,Rate
QPS timeout,Queries per second for queries that time out,Yes,Yes,Requests/TU,No,Yes,412 failure,Rate
File size,Maximum uploaded file size,Yes,No,Upload,No,No,File size,Quota
Face sets,Face sets that can be returned,No,No,Other,No,No,Face sets,Quota
Matches,Number of matches returned,No,Yes,Results,No,No,Matches,Quota
Requests/60 seconds,Requests per minute,Yes,Yes,Requests/TU,No,Yes,Queries per minute,Rate
Requests/month,Requests per month,Yes,Yes,Requests/TU,No,No,Monthly requests,Quota
Credits/month,Consumed credits per month,No,Yes,Credits,No,No,Credits,Quota
Credits/hour,Consumed credits per hour,No,Yes,Credits,No,Yes,Credits per hour,Rate
