API,Metrics links,Main link,No explicit limitations,Metrics,Plans with SLA,Document where rates are specified,Rates links
AccuWeather,https://developer.accuweather.com/packages,https://developer.accuweather.com/packages,No,Requests,No,,
AzureSearch,https://azure.microsoft.com/en-gb/pricing/details/cognitive-services/search-api/,https://azure.microsoft.com/en-gb/pricing/details/cognitive-services/search-api/,No,Requests,https://azure.microsoft.com/en-gb/support/legal/sla/cognitive-services/v1_1/,Pricing plan,https://azure.microsoft.com/en-gb/pricing/details/cognitive-services/search-api/
Box,"https://www.box.com/pricing/business, https://www.box.com/pricing/individual, https://developer.box.com/guides/api-calls/permissions-and-errors/rate-limits/",https://www.box.com/pricing/business,No,"Requests, storage, single file upload limit, integrations, history, users",No,API documentation,https://developer.box.com/guides/api-calls/permissions-and-errors/rate-limits/
Clarifai,https://web.archive.org/web/20181214020423/https://www.clarifai.com/pricing,https://web.archive.org/web/20181214020423/https://www.clarifai.com/pricing,No,"Prebuilt prediction operations, custom prediction operations, search operations, add/edit operations, custom model hosting, image hosting, custom model training, visual search training, retraining, total inputs, total operations, image regular batch size, image workflow batch size, video batch size, search batch size, other batch size, image predict requests, video predict requests, search requests, other requests",No,Pricing plan,https://web.archive.org/web/20181214020423/https://www.clarifai.com/pricing
Currencylayer,https://currencylayer.com/product,https://currencylayer.com/product,No,Requests,No,,
dblp,https://dblp.uni-trier.de/faq/13501473.html,https://dblp.uni-trier.de/faq/13501473.html,No explicit rates,Requests,No,,
Debitoor,"https://debitoor.com/pricing, https://developers.debitoor.com/",https://debitoor.com/pricing,No,"Requests, invoices and expenses, users",No,API documentation,https://developers.debitoor.com/
DocuSign,"https://www.docusign.com/products-and-pricing/api-plans, https://developers.docusign.com/docs/esign-rest-api/esign101/rules-and-limits",https://www.docusign.com/products-and-pricing/api-plans,No,"Envelopes, requests",No,API documentation,https://developers.docusign.com/docs/esign-rest-api/esign101/rules-and-limits
Dropbox,"https://www.dropbox.com/plans, https://www.dropbox.com/developers/documentation/http/teams",https://www.dropbox.com/plans,No specific values for rates,"Requests, storage, upload size, users",No,,
Email Labs,https://emaillabs.io/en/pricing/,https://emaillabs.io/en/pricing/,No,"Emails, query size, query size sum, history",No,,
Eversign,https://eversign.com/api#pricing,https://eversign.com/api#pricing,No,"Documents, templates",No,,
Face++,"https://www.faceplusplus.com/v2/pricing-details/#api_1, https://console.faceplusplus.com/documents/5679127",https://www.faceplusplus.com/v2/pricing-details/#api_1,No,"QPS, QPS invalid param, QPS timeout, file size, face sets",No,Pricing plan,https://www.faceplusplus.com/v2/pricing-details/#api_1
FullContact,https://web.archive.org/web/20200510035641/https://www.fullcontact.com/pricing/,https://web.archive.org/web/20200510035641/https://www.fullcontact.com/pricing/,No,"Matches, requests",No,Pricing plan,https://web.archive.org/web/20200510035641/https://www.fullcontact.com/pricing/
GeoRanker,https://www.georanker.com/plans-api,https://www.georanker.com/plans-api,No,"Requests, credits, simultaneous connections",No,FAQ in pricing plan,https://www.georanker.com/plans-api
GitHub,https://docs.github.com/en/free-pro-team@latest/rest/reference/search#rate-limit,https://docs.github.com/en/free-pro-team@latest/rest/reference/search#rate-limit,No,"Requests, action minutes, packages storage",No,API documentation,https://docs.github.com/en/free-pro-team@latest/rest/overview/resources-in-the-rest-api#rate-limiting
Here,https://developer.here.com/pricing,https://developer.here.com/pricing,No,"Requests, users, assets, data transfer, database storage",https://knowledge.here.com/csm_kb?id=public_kb_csm_details&number=KB0016411,,
